true_idx,395,345,483,240,302,304,147,38,39,314,327,396,5,163,472,360,398,364,305,333,Other
395,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,4
345,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
483,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,4
240,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
302,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
304,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6
147,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7
38,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,5
39,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,7
314,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,5
