model,model_label,top1_accuracy,top5_accuracy,macro_precision,macro_recall,macro_f1
traditional,Traditional,0.1074,0.2304,0.10469251655566574,0.10740000000000002,0.09817541214512769
scratch,Scratch ResNet18,0.321,0.5766,0.3045254588178905,0.321,0.2973469803312652
pretrained,Pretrained ResNet18,0.6824,0.8698,0.6971048349741075,0.6824000000000001,0.6794530054050938
