true_idx,212,67,176,395,183,189,192,394,76,199,204,197,398,140,164,160,222,448,178,Other
212,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,5
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
176,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8
395,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
189,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,6
192,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,6
394,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,6
76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9
199,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7
