model,total_samples,top1_correct,top1_accuracy,top5_correct,top5_accuracy,top1_wrong_top5_correct,mean_confidence,mean_correct_confidence,mean_wrong_confidence,difficult_correct,high_confidence_wrong
traditional,5000,537,0.1074,1152,0.2304,615,0.029915291891397716,0.0524663493986268,0.027201888825885277,537,0
scratch,5000,1605,0.321,2883,0.5766,1278,0.3266131027583033,0.5255649820109394,0.23255779607185822,798,31
pretrained,5000,3412,0.6824,4349,0.8698,937,0.6049948425680399,0.7314155064807093,0.33336555713351335,725,54
