run_name,augmentation,best_epoch,best_val_top1,best_val_top5,best_val_macro_f1,training_time_sec
scratch_aug,True,28,0.3194,0.5674,0.3006218977064454,10124.604233980179
scratch_no_aug,False,16,0.2154,0.4342,0.21417198321451017,8584.763313293457
