Model,Clean Top-1,Clean Top-5,Clean Macro-F1,Mean Degraded Top-1,Mean Degraded Macro-F1,Top-1 Retention,Training Time (h),Clean Testing Time (s)
Traditional,0.1074,0.2304,0.09817541214512769,0.06969333333333334,0.0632059404806931,0.6489137181874614,0.7292900360955132,265.8278741836548
Scratch ResNet18,0.321,0.5766,0.2973469803312652,0.26824,0.25068611464709717,0.835638629283489,2.812390064994494,9.953330125004868
Pretrained ResNet18,0.6824,0.8698,0.6794530054050938,0.5720799999999999,0.5710081781514534,0.8383352872215708,7.839541233314408,18.51148796081543
