model,degradation,severity,clean_correct_total,clean_wrong_total,correct_to_correct,correct_to_wrong,wrong_to_correct,wrong_to_wrong,correct_to_wrong_rate_pct,wrong_to_correct_rate_pct
traditional,noise,0.2,537,4463,112,425,84,4379,79.14338919925513,1.8821420569123906
traditional,blur,7,537,4463,9,528,36,4427,98.32402234636871,0.8066323101053103
traditional,jpeg,20,537,4463,299,238,158,4305,44.320297951582866,3.540219583239973
scratch,noise,0.2,1605,3395,745,860,119,3276,53.58255451713395,3.5051546391752577
scratch,blur,7,1605,3395,622,983,151,3244,61.246105919003114,4.447717231222386
scratch,jpeg,20,1605,3395,1389,216,129,3266,13.457943925233645,3.799705449189985
pretrained,noise,0.2,3412,1588,718,2694,56,1532,78.95662368112544,3.5264483627204033
pretrained,blur,7,3412,1588,1535,1877,114,1474,55.01172332942556,7.178841309823677
pretrained,jpeg,20,3412,1588,2977,435,165,1423,12.749120750293082,10.390428211586903
