model,degradation,severity,top1_accuracy,top5_accuracy,macro_precision,macro_recall,macro_f1,metrics_json
pretrained,blur,7,0.3298,0.5634,0.42538253143887755,0.32980000000000004,0.3312237491191164,results/robustness/metrics/pretrained_blur_7_metrics.json
pretrained,brightness,0.4,0.6396,0.8386,0.6703997576431585,0.6396000000000001,0.6386792094121055,results/robustness/metrics/pretrained_brightness_0.4_metrics.json
pretrained,brightness,0.6,0.6722,0.8638,0.6908258721670486,0.6722,0.6699946148890455,results/robustness/metrics/pretrained_brightness_0.6_metrics.json
pretrained,brightness,0.8,0.6856,0.8692,0.7002555661658603,0.6856,0.6822402058687238,results/robustness/metrics/pretrained_brightness_0.8_metrics.json
pretrained,contrast,0.4,0.6052,0.8234,0.6617977566228403,0.6052000000000001,0.6105520198547614,results/robustness/metrics/pretrained_contrast_0.4_metrics.json
pretrained,contrast,0.6,0.6612,0.8562,0.6904279436851418,0.6612,0.6616804442616417,results/robustness/metrics/pretrained_contrast_0.6_metrics.json
pretrained,contrast,0.8,0.6814,0.8674,0.6986839281719313,0.6814000000000001,0.679146394201189,results/robustness/metrics/pretrained_contrast_0.8_metrics.json
pretrained,jpeg,20,0.6284,0.8302,0.6556040493476252,0.6284,0.6251706716317572,results/robustness/metrics/pretrained_jpeg_20_metrics.json
pretrained,jpeg,40,0.6646,0.8562,0.6810811043531632,0.6646,0.661204619235976,results/robustness/metrics/pretrained_jpeg_40_metrics.json
pretrained,jpeg,70,0.6736,0.8632,0.6878679927915222,0.6735999999999999,0.6703517909064308,results/robustness/metrics/pretrained_jpeg_70_metrics.json
