model,degradation,severity,top1_accuracy,top5_accuracy,macro_precision,macro_recall,macro_f1,metrics_json,severity_numeric,clean_top1_accuracy,clean_macro_f1,top1_absolute_drop,macro_f1_absolute_drop,top1_relative_drop_pct,macro_f1_relative_drop_pct,top1_retention_pct,macro_f1_retention_pct
traditional,noise,0.05,0.0946,0.2218,0.0981962024658669,0.0946,0.0861172761817679,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_noise_0.05_metrics.json,0.05,0.1074,0.0981754121451276,0.012799999999999992,0.012058135963359695,11.918063314711352,12.282236152505051,88.08193668528864,87.71776384749495
traditional,noise,0.1,0.0796,0.1884,0.0809010171914139,0.0795999999999999,0.068765146865331,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_noise_0.1_metrics.json,0.1,0.1074,0.0981754121451276,0.02779999999999999,0.029410265279796594,25.884543761638728,29.95685440700868,74.11545623836128,70.04314559299132
traditional,noise,0.2,0.0392,0.1042,0.053532814166082,0.0392,0.0311544384442793,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_noise_0.2_metrics.json,0.2,0.1074,0.0981754121451276,0.0682,0.0670209737008483,63.50093109869647,68.26655700897358,36.49906890130354,31.73344299102643
traditional,blur,3.0,0.0542,0.1494,0.0721014996586221,0.0542,0.0491339588973611,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_blur_3_metrics.json,3.0,0.1074,0.0981754121451276,0.0532,0.049041453247766494,49.534450651769085,49.95288756748082,50.46554934823091,50.04711243251918
traditional,blur,5.0,0.0212,0.0692,0.028758477549041,0.0212,0.0166584347517278,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_blur_5_metrics.json,5.0,0.1074,0.0981754121451276,0.0862,0.08151697739339979,80.26070763500931,83.03196860828808,19.73929236499069,16.968031391711914
traditional,blur,7.0,0.009,0.0326,0.0046802384585938,0.009,0.0042519130443731,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_blur_7_metrics.json,7.0,0.1074,0.0981754121451276,0.0984,0.0939234991007545,91.62011173184358,95.66906524610488,8.379888268156424,4.330934753895119
traditional,brightness,0.4,0.0412,0.1148,0.0743828764267391,0.0412,0.0404717172577984,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_brightness_0.4_metrics.json,0.4,0.1074,0.0981754121451276,0.0662,0.057703694887329196,61.63873370577281,58.77611677558209,38.36126629422719,41.22388322441791
traditional,brightness,0.6,0.087,0.2006,0.1032418735600268,0.087,0.0822213529402337,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_brightness_0.6_metrics.json,0.6,0.1074,0.0981754121451276,0.0204,0.0159540592048939,18.99441340782123,16.250565040979758,81.00558659217877,83.74943495902023
traditional,brightness,0.8,0.1006,0.2272,0.1005519229044114,0.1006,0.0920493416773425,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_brightness_0.8_metrics.json,0.8,0.1074,0.0981754121451276,0.0068000000000000005,0.0061260704677851,6.33147113594041,6.239923351408241,93.66852886405958,93.76007664859176
traditional,contrast,0.4,0.0428,0.115,0.0733692249823977,0.0428,0.0421295279317706,D:/Code/unsw/comp9517/COMP9517-project-github/results/robustness/metrics/traditional_contrast_0.4_metrics.json,0.4,0.1074,0.0981754121451276,0.06459999999999999,0.056045884213356996,60.14897579143389,57.08749572704343,39.85102420856611,42.91250427295657
